timestamp,index_type,info,dstore,qproc,compr,optim,query,query_type,run_id,latency_ms,current_mem_kb,peak_mem_kb
2025-11-02T15:29:05.867738,es, , , , , ,"""north america"" OR ""south america""",mixed,0,5.188
2025-11-02T15:29:05.867952,es, , , , , ,"""north america"" OR ""south america""",mixed,1,2.525
2025-11-02T15:29:05.868035,es, , , , , ,"""north america"" OR ""south america""",mixed,2,2.112
2025-11-02T15:29:05.868110,es, , , , , ,"""north america"" OR ""south america""",mixed,3,1.88
2025-11-02T15:29:05.868183,es, , , , , ,"""north america"" OR ""south america""",mixed,4,1.869
2025-11-02T15:29:05.886857,es, , , , , ,"(""america"" AND ""washington"") OR (""congress"" AND ""president"")",grouped,0,4.675
2025-11-02T15:29:05.887062,es, , , , , ,"(""america"" AND ""washington"") OR (""congress"" AND ""president"")",grouped,1,3.456
2025-11-02T15:29:05.887144,es, , , , , ,"(""america"" AND ""washington"") OR (""congress"" AND ""president"")",grouped,2,3.493
2025-11-02T15:29:05.887219,es, , , , , ,"(""america"" AND ""washington"") OR (""congress"" AND ""president"")",grouped,3,3.386
2025-11-02T15:29:05.887290,es, , , , , ,"(""america"" AND ""washington"") OR (""congress"" AND ""president"")",grouped,4,3.401
2025-11-02T15:29:05.913029,es, , , , , ,"(""america"" OR ""washington"") AND (""congress"" OR ""president"")",grouped,0,5.229
2025-11-02T15:29:05.913233,es, , , , , ,"(""america"" OR ""washington"") AND (""congress"" OR ""president"")",grouped,1,5.393
2025-11-02T15:29:05.913324,es, , , , , ,"(""america"" OR ""washington"") AND (""congress"" OR ""president"")",grouped,2,4.861
2025-11-02T15:29:05.913407,es, , , , , ,"(""america"" OR ""washington"") AND (""congress"" OR ""president"")",grouped,3,4.968
2025-11-02T15:29:05.913482,es, , , , , ,"(""america"" OR ""washington"") AND (""congress"" OR ""president"")",grouped,4,4.985
2025-11-02T15:29:05.927351,es, , , , , ,"(""america"" AND NOT ""washington"") OR (""washington"" AND NOT ""america"")",grouped,0,2.994
2025-11-02T15:29:05.927546,es, , , , , ,"(""america"" AND NOT ""washington"") OR (""washington"" AND NOT ""america"")",grouped,1,2.682
2025-11-02T15:29:05.927640,es, , , , , ,"(""america"" AND NOT ""washington"") OR (""washington"" AND NOT ""america"")",grouped,2,2.59
2025-11-02T15:29:05.927724,es, , , , , ,"(""america"" AND NOT ""washington"") OR (""washington"" AND NOT ""america"")",grouped,3,2.659
2025-11-02T15:29:05.927803,es, , , , , ,"(""america"" AND NOT ""washington"") OR (""washington"" AND NOT ""america"")",grouped,4,2.753
2025-11-02T15:29:05.942402,es, , , , , ,"(america OR washington) AND NOT ""congress""",grouped,0,2.877
2025-11-02T15:29:05.942641,es, , , , , ,"(america OR washington) AND NOT ""congress""",grouped,1,3.186
2025-11-02T15:29:05.942733,es, , , , , ,"(america OR washington) AND NOT ""congress""",grouped,2,3.245
2025-11-02T15:29:05.942811,es, , , , , ,"(america OR washington) AND NOT ""congress""",grouped,3,2.669
2025-11-02T15:29:05.942886,es, , , , , ,"(america OR washington) AND NOT ""congress""",grouped,4,2.427
2025-11-02T15:29:05.955272,es, , , , , ,"((""america"" AND ""washington"") OR ""president"") AND NOT ""congress""",nested,0,2.422
2025-11-02T15:29:05.955505,es, , , , , ,"((""america"" AND ""washington"") OR ""president"") AND NOT ""congress""",nested,1,2.619
2025-11-02T15:29:05.955595,es, , , , , ,"((""america"" AND ""washington"") OR ""president"") AND NOT ""congress""",nested,2,2.337
2025-11-02T15:29:05.955671,es, , , , , ,"((""america"" AND ""washington"") OR ""president"") AND NOT ""congress""",nested,3,2.193
2025-11-02T15:29:05.955765,es, , , , , ,"((""america"" AND ""washington"") OR ""president"") AND NOT ""congress""",nested,4,2.585
2025-11-02T15:29:05.980884,es, , , , , ,"((""america"" OR ""washington"") AND (""congress"" OR ""president""))",nested,0,4.9
2025-11-02T15:29:05.981092,es, , , , , ,"((""america"" OR ""washington"") AND (""congress"" OR ""president""))",nested,1,5.244
2025-11-02T15:29:05.981178,es, , , , , ,"((""america"" OR ""washington"") AND (""congress"" OR ""president""))",nested,2,5.003
2025-11-02T15:29:05.981256,es, , , , , ,"((""america"" OR ""washington"") AND (""congress"" OR ""president""))",nested,3,4.796
2025-11-02T15:29:05.981330,es, , , , , ,"((""america"" OR ""washington"") AND (""congress"" OR ""president""))",nested,4,4.878
2025-11-02T15:29:06.000172,es, , , , , ,"(""america"" AND (""washington"" OR ""president""))",nested,0,3.547
