iteration,runtime_min,avg_staleness_s,tracked_pages,metric,update_rate,total_updates,total_visits
50,0.05812910000483195,2.0134081840515137,54,0.7037037037037037,0.19047619047619047,4,21
150,0.11048746506373087,0.8038751460887767,54,2.1234567901234573,0.25263157894736843,24,95
200,0.15748655001322429,2.334864514845389,54,2.222222222222223,0.288135593220339,34,118
300,0.2094257156054179,1.492800447675917,54,2.5370370370370376,0.3333333333333333,63,189
400,0.26007851362228396,1.239270113132618,54,2.6617283950617283,0.3185483870967742,79,248
450,0.30707778135935465,2.769912909578394,54,2.669312169312169,0.3247232472324723,88,271
500,0.3124929467837016,0.479766086295799,54,2.7989417989418,0.32075471698113206,102,318
550,0.35913901726404823,1.9352976436968203,54,2.9021164021164028,0.3216374269005848,110,342
650,0.4108355641365051,1.2395098606745403,54,3.1152263374485596,0.3121951219512195,128,410
700,0.4581621845563253,2.782192490718983,54,3.1658436213991767,0.3071593533487298,133,433
750,0.4629098812739054,0.5638629065619575,54,3.277366255144033,0.3075313807531381,147,478
800,0.5095403631528218,2.2987481355667114,54,3.3161616161616156,0.30784708249496984,153,497
900,0.5616418798764546,1.3987847654907792,54,3.4525813692480365,0.30052724077328646,171,569
1000,0.6138519803682964,0.3970169756147597,54,3.647198480531815,0.30171073094867806,194,643
1050,0.6613619645436605,1.90590794439669,54,3.6601546601546606,0.3058470764617691,204,667
1150,0.7133035461107889,1.208614671671832,54,3.8298059964726625,0.3047619047619048,224,735
1200,0.7602974653244019,2.6834542707160667,54,3.9050925925925917,0.30171277997364954,229,759
50,0.0573188861211141,1.9698322988905996,53,0.6226415094339622,0.42857142857142855,9,21
150,0.11002768675486246,0.7266013307391472,53,1.949685534591195,0.3473684210526316,33,95
200,0.157134485244751,2.177727424873496,53,2.069182389937107,0.3445378151260504,41,119
300,0.20891451835632324,1.4720050703804448,53,2.358490566037735,0.3655913978494624,68,186
400,0.2597480376561483,1.1698283384431083,53,2.4930817610062896,0.3795918367346939,93,245
450,0.3066972692807515,2.7909205544669673,53,2.634321653189577,0.37593984962406013,100,266
650,0.41040473779042563,1.4326547901585418,53,2.837526205450734,0.38345864661654133,153,399
800,0.5089020530382792,2.331314653720496,53,2.9845626072041167,0.3860369609856263,188,487
850,0.5127482533454895,0.4071769579401556,53,3.033276157804459,0.38095238095238093,200,525
900,0.5602358698844909,1.943347454071045,53,3.004288164665522,0.38686131386861317,212,548
1000,0.6112551689147949,1.5209710777930494,53,3.079100145137881,0.37110016420361247,226,609
1100,0.6626818855603536,1.1970250246659764,53,3.133734190337964,0.3692077727952167,247,669
1150,0.7090394377708436,2.6119238610537545,53,3.124168912848158,0.37373737373737376,259,693
1200,0.7146466692288717,0.2177313138853829,53,3.1380053908355783,0.3738191632928475,277,741
1250,0.7612451195716858,1.8697883947840277,53,3.1885220125786153,0.37056504599211565,282,761
